by Crash Date (Month);MES;Total;
2007;1;3035;
2007;2;2889;
2007;3;3430;
2007;4;3358;
2007;5;3636;
2007;6;3617;
2007;7;3814;
2007;8;3671;
2007;9;3571;
2007;10;3604;
2007;11;3362;
2007;12;3272;
2008;1;2834;
2008;2;2824;
2008;3;2801;
2008;4;2956;
2008;5;3198;
2008;6;3281;
2008;7;3270;
2008;8;3563;
2008;9;3114;
2008;10;3352;
2008;11;3116;
2008;12;3114;
2009;1;2613;
2009;2;2354;
2009;3;2585;
2009;4;2869;
2009;5;3053;
2009;6;3053;
2009;7;3046;
2009;8;3162;
2009;9;2896;
2009;10;2886;
2009;11;2738;
2009;12;2628;
2010;1;2297;
2010;2;2023;
2010;3;2435;
2010;4;2786;
2010;5;2937;
2010;6;2799;
2010;7;3099;
2010;8;3096;
2010;9;3031;
2010;10;3067;
2010;11;2811;
2010;12;2618;
2011;1;2240;
2011;2;2046;
2011;3;2440;
2011;4;2548;
2011;5;2786;
2011;6;2893;
2011;7;3152;
2011;8;2989;
2011;9;2843;
2011;10;3106;
2011;11;2723;
2011;12;2713;
2012;1;2499;
2012;2;2330;
2012;3;2692;
2012;4;2644;
2012;5;2931;
2012;6;3037;
2012;7;3137;
2012;8;3079;
2012;9;2955;
2012;10;2883;
2012;11;2827;
2012;12;2768;
2013;1;2440;
2013;2;2122;
2013;3;2604;
2013;4;2513;
2013;5;2767;
2013;6;2927;
2013;7;2886;
2013;8;3160;
2013;9;2978;
2013;10;2996;
2013;11;2857;
2013;12;2643;
2014;1;2360;
2014;2;2058;
2014;3;2438;
2014;4;2516;
2014;5;2836;
2014;6;2827;
2014;7;2940;
2014;8;3042;
2014;9;2817;
2014;10;3074;
2014;11;2985;
2014;12;2851;
2015;1;2577;
2015;2;2168;
2015;3;2625;
2015;4;2652;
2015;5;3136;
2015;6;3035;
2015;7;3288;
2015;8;3354;
2015;9;3163;
2015;10;3328;
2015;11;3016;
2015;12;3142;
2016;1;2549;
2016;2;2666;
2016;3;2939;
2016;4;2956;
2016;5;3277;
2016;6;3330;
2016;7;3314;
2016;8;3382;
2016;9;3382;
2016;10;3576;
2016;11;3300;
2016;12;3135;
2017;1;2845;
2017;2;2528;
2017;3;2928;
2017;4;2993;
2017;5;3188;
2017;6;3279;
2017;7;3528;
2017;8;3181;
2017;9;3372;
2017;10;3366;
2017;11;3149;
2017;12;3116;
2018;1;2833;
2018;2;2516;
2018;3;2854;
2018;4;2802;
2018;5;3218;
2018;6;3303;
2018;7;3337;
2018;8;3278;
2018;9;3319;
2018;10;3397;
2018;11;3015;
2018;12;2963;
2019;1;2670;
2019;2;2393;
2019;3;2769;
2019;4;2820;
2019;5;3172;
2019;6;3201;
2019;7;3304;
2019;8;3359;
2019;9;3331;
2019;10;3227;
2019;11;3084;
2019;12;3025;
2020;1;2667;
2020;2;2677;
2020;3;2557;
2020;4;2322;
2020;5;3112;
2020;6;3730;
2020;7;3797;
2020;8;3816;
2020;9;3745;
2020;10;3814;
2020;11;3484;
2020;12;3286;
2021;1;3099;
2021;2;2561;
2021;3;3214;
2021;4;3557;
2021;5;3768;
2021;6;3789;
2021;7;3879;
2021;8;4013;
2021;9;3861;
2021;10;4101;
2021;11;3599;
2021;12;3498;
